WBID,PLANNING_UNIT,GROUP_NAME,WATERBODY_NAME,WATERBODY_SIZE,UNITS,WATER_TYPE,CLASS,PERIMETER
2909A,Lake Woodruff,Middle St. Johns,DAN GEORGE LAKE,0.20047,sq. miles,LAKE,3F,3082.61512642
2910A,Lake Woodruff,Middle St. Johns,CAIN LAKE,0.2299,sq. miles,LAKE,3F,3467.7771203
2910B,Lake Woodruff,Middle St. Johns,LAKE PURDOM,0.10765,sq. miles,LAKE,3F,2557.34828264
2912A,Lake Woodruff,Middle St. Johns,LAKE EMPORIA,0.09393,sq. miles,LAKE,3F,3988.04019128
2893X2,St. Johns Marsh,Upper St. Johns,SAWGRASS LAKE,0.91294,sq. miles,LAKE,1,14710.12356153
2893Y,Lake Poinsett,Upper St. Johns,LAKE WINDER,2.43422,sq. miles,LAKE,3F,13501.38167189
2893Z,Lake Woodruff,Middle St. Johns,ST JOHNS RIVER BELOW LAKE DEXTER,0.72253,sq. miles,LAKE,3F,35213.45414208
2894,Lake Kerr,Middle St. Johns,LAKE DELANCY,0.58951,sq. miles,LAKE,3F,12515.23583055
2896,Lake George,Middle St. Johns,CLEAR LAKE,0.17894,sq. miles,LAKE,3F,2729.01128125
2897,Lake George,Middle St. Johns,TROWEL (BELL) LAKE,0.05782,sq. miles,LAKE,3F,1875.69398116
2898A,Lake George,Middle St. Johns,LAKE LAURA,0.00444,sq. miles,LAKE,3F,406.1967183
2899B,Lake Kerr,Middle St. Johns,LAKE KERR,4.599890000000000,sq. miles,LAKE,3F,36826.411876
2899C,Lake Kerr,Middle St. Johns,LITTLE LAKE KERR,0.97964,sq. miles,LAKE,3F,18135.11366275
2902,Lake George,Middle St. Johns,LOUISE LAKE (LOWER SEGMENT),0.37438,sq. miles,LAKE,3F,7466.19170886
2917,Alexander Springs Creek,Middle St. Johns,BOYD LAKE,0.04403,sq. miles,LAKE,3F,2064.11333699
2918B,Alexander Springs Creek,Middle St. Johns,BUCK LAKE,0.14533,sq. miles,LAKE,3F,1926.0324578
2918D,Alexander Springs Creek,Middle St. Johns,ECHO LAKE,0.01024,sq. miles,LAKE,3F,721.02009552
2918G,Alexander Springs Creek,Middle St. Johns,SELLERS LAKE,1.78368,sq. miles,LAKE,3F,26116.65060371
2921E,Lake Woodruff,Middle St. Johns,SPRING GARDEN LAKE,0.80721,sq. miles,LAKE,3F,9147.89019262
2922A,Deep Creek MSJR,Middle St. Johns,DAYTONA LAKE,0.01651,sq. miles,LAKE,3F,872.68749058
2923,Lake Woodruff,Middle St. Johns,STAGGER MUD LAKE,0.36833,sq. miles,LAKE,3F,5608.17395873
2925A,Deep Creek MSJR,Middle St. Johns,LAKE ASHBY,1.59901,sq. miles,LAKE,3F,9413.65523827
2918H,Alexander Springs Creek,Middle St. Johns,BEAKMAN LAKE,0.14909,sq. miles,LAKE,3F,2865.26840976
2905C,Lake Kerr,Middle St. Johns,WILDCAT LAKE,0.43075,sq. miles,LAKE,3F,6836.43025434
2921,Lake Woodruff,Middle St. Johns,LAKE WOODRUFF,3.58175,sq. miles,LAKE,3F,16809.61985295
2921B,Lake Woodruff,Middle St. Johns,LAKE TEDDER,0.07035,sq. miles,LAKE,3F,770.98745426
2921C,Lake Woodruff,Middle St. Johns,LAKE DEXTER,2.90859,sq. miles,LAKE,3F,18333.7924496
2921D1,Lake Woodruff,Middle St. Johns,TICK ISLAND MUD LAKE,0.39275,sq. miles,LAKE,3F,5882.62337374
2928A,Lake Woodruff,Middle St. Johns,DEERHAVEN LAKE,0.02119,sq. miles,LAKE,3F,1285.11208044
2929B,Wekiva River,Middle St. Johns,LAKE NORRIS,1.81337,sq. miles,LAKE,3F,10844.72222205
2929C,Wekiva River,Middle St. Johns,LAKE DORR,2.68409,sq. miles,LAKE,3F,12747.25813202
2929C1,Wekiva River,Middle St. Johns,BAPTIST LAKE,0.02058,sq. miles,LAKE,3F,971.37175553
2929D,Wekiva River,Middle St. Johns,LITTLE LAKE MARY,0.01689,sq. miles,LAKE,3F,800.0784345200000
2929F,Wekiva River,Middle St. Johns,LAKE CLEARWATER,0.05647,sq. miles,LAKE,3F,1853.2875093
2930,Alexander Springs Creek,Middle St. Johns,LULU LAKE,0.04607,sq. miles,LAKE,3F,1536.26563859
2916A,Lake George,Middle St. Johns,CROOKED LAKE,0.03901,sq. miles,LAKE,3F,2411.50105647
2916B,Lake George,Middle St. Johns,SOUTH GRASSHOPPER LAKE,0.27073,sq. miles,LAKE,3F,6532.50547717
2938I,Lake Monroe,Middle St. Johns,THREE ISLAND LAKES,0.25969,sq. miles,LAKE,3F,6587.58021063
2962E,Lake Monroe,Middle St. Johns,LITTLE LAKE MARY,0.0803,sq. miles,LAKE,3F,2296.01115287
2950A,Wekiva River,Middle St. Johns,LAKE TUTTLE,0.01649,sq. miles,LAKE,3F,834.9745386200000
2951,Lake Monroe,Middle St. Johns,LAKE MARIE,0.02286,sq. miles,LAKE,3F,1133.95704636
2953,Lake Monroe,Middle St. Johns,BETHEL LAKE,0.30623,sq. miles,LAKE,3F,5532.04218463
2953A,Lake Monroe,Middle St. Johns,BROKEN ARROW LAKE,0.02036,sq. miles,LAKE,3F,1054.08504454
2953B,Lake Monroe,Middle St. Johns,BIG LAKE,0.2134,sq. miles,LAKE,3F,3683.0186975
2953C,Lake Monroe,Middle St. Johns,JENKINS POND,0.04666,sq. miles,LAKE,3F,1288.87831695
2949,Wekiva River,Middle St. Johns,LAKE DALHOUSIE,0.38643,sq. miles,LAKE,3F,3644.4392934
2954,Lake Monroe,Middle St. Johns,KONOMAC LAKE RESERVOIR,1.67794,sq. miles,LAKE,3F,12634.4801002
2930A,Alexander Springs Creek,Middle St. Johns,AKRON LAKE,0.29767,sq. miles,LAKE,3F,3741.15525372
2930D,Alexander Springs Creek,Middle St. Johns,BLUE LAKE,0.04058,sq. miles,LAKE,3F,1278.97974273
2930E,Alexander Springs Creek,Middle St. Johns,SILVER PAISLEY LAKE,0.03207,sq. miles,LAKE,3F,1213.33572465
2931,Deep Creek MSJR,Middle St. Johns,LAKE WINNEMISSETT,0.26877,sq. miles,LAKE,3F,4553.04917842
2932A,Alexander Springs Creek,Middle St. Johns,LAKE KATHRYN,0.04983,sq. miles,LAKE,3F,1481.32400589
2934A,Wekiva River,Middle St. Johns,COWPEN POND,0.07292,sq. miles,LAKE,3F,3749.99710564
2938A,Lake Monroe,Middle St. Johns,LAKE HELEN,0.04057,sq. miles,LAKE,3F,1986.0914202
2938B,Lake Monroe,Middle St. Johns,DUPONT LAKE,0.49596,sq. miles,LAKE,3F,6457.40098834
2938C,Lake Monroe,Middle St. Johns,LAKE CLOUGH,0.00773,sq. miles,LAKE,3F,535.85465687
2938D,Lake Monroe,Middle St. Johns,LAKE COLBY,0.08121,sq. miles,LAKE,3F,2137.80038187
2938E,Lake Monroe,Middle St. Johns,TIVOLI LAKE,0.01111,sq. miles,LAKE,3F,606.79426227
2938F,Lake Monroe,Middle St. Johns,MCGARITY LAKE,0.15913,sq. miles,LAKE,3F,6336.30184856
2938G,Lake Monroe,Middle St. Johns,THERESA LAKE,0.46614,sq. miles,LAKE,3F,5228.00608224
2938H,Lake Monroe,Middle St. Johns,LAKE MACY,0.03392,sq. miles,LAKE,3F,1390.03091807
2959A,Lake Monroe,Middle St. Johns,LITTLE LAKE,0.111,sq. miles,LAKE,3F,4800.38668611
2962A,Lake Monroe,Middle St. Johns,EAST TWIN LAKE,0.03331,sq. miles,LAKE,3F,1603.00103676
2962B,Lake Monroe,Middle St. Johns,ADA LAKE,0.07995,sq. miles,LAKE,3F,3648.98690206
2962C,Lake Monroe,Middle St. Johns,LAKE MINNIE,0.06394,sq. miles,LAKE,3F,2124.18929625
2962D,Lake Monroe,Middle St. Johns,LAKE MARY,0.16097,sq. miles,LAKE,3F,5291.86071183
2966A,Puzzle Lake,Upper St. Johns,BUCK LAKE,0.52172,sq. miles,LAKE,3F,12819.94193601
2970,Wekiva River,Middle St. Johns,LAKE MARKHAM,0.10993,sq. miles,LAKE,3F,5577.41172158
2970B,Wekiva River,Middle St. Johns,ROSS LAKE,0.01931,sq. miles,LAKE,3F,977.13280435
2973A,Lake Monroe,Middle St. Johns,LAKE EMMA,0.02993,sq. miles,LAKE,3F,1586.50603007
2973B,Lake Monroe,Middle St. Johns,WEST CRYSTAL LAKE,0.27388,sq. miles,LAKE,3F,9659.82400747
2973C,Lake Monroe,Middle St. Johns,EAST CRYSTAL LAKE,0.14993,sq. miles,LAKE,3F,7653.50225155
2973D,Lake Monroe,Middle St. Johns,JENNIE LAKE,0.00889,sq. miles,LAKE,3F,1347.57106563
2961,Wekiva River,Middle St. Johns,LAKE SYLVAN,0.29399,sq. miles,LAKE,3F,4514.98813879
2961A1,Lake Monroe,Middle St. Johns,BANANA LAKE,0.02768,sq. miles,LAKE,3F,1129.89853351
2961B,Wekiva River,Middle St. Johns,YANKEE LAKE,0.07524,sq. miles,LAKE,3F,2872.67693134
2964A,Deep Creek MSJR,Middle St. Johns,LAKE HARNEY,10.85916,sq. miles,LAKE,3F,35269.53423897
2964A3,Deep Creek MSJR,Middle St. Johns,LAKE GENEVA,0.03223,sq. miles,LAKE,3F,1863.50573288
2964A4,Deep Creek MSJR,Middle St. Johns,LAKE PROCTOR,0.10155,sq. miles,LAKE,3F,5074.72721084
2964B,Puzzle Lake,Upper St. Johns,PUZZLE LAKE,2.76639,sq. miles,LAKE,3F,27690.86907678
2964B3,Deep Creek MSJR,Middle St. Johns,LITTLE PUZZLE LAKE,0.25584,sq. miles,LAKE,3F,13379.44799483
2964C,Puzzle Lake,Upper St. Johns,RUTH LAKE,0.33673,sq. miles,LAKE,3F,8060.09436452
2955A,Wekiva River,Middle St. Johns,LAKE SENECA,0.14787,sq. miles,LAKE,3F,3622.30218565
2956A1,Wekiva River,Middle St. Johns,LINDEN LAKE,0.0246,sq. miles,LAKE,3F,1337.91678641
2956F,Wekiva River,Middle St. Johns,LAKE BRANTLEY,0.45074,sq. miles,LAKE,3F,11980.58467102
2956G,Wekiva River,Middle St. Johns,SAND LAKE (ORANGE COUNTY),0.00336,sq. miles,LAKE,3F,521.27325272
2991C,Econlockhatchee River,Middle St. Johns,ISLAND POND,0.08408,sq. miles,LAKE,3F,2970.06877925
2991D,Econlockhatchee River,Middle St. Johns,HORSESHOE LAKE (SOUTH),0.05267,sq. miles,LAKE,3F,1853.48723427
2991D1,Econlockhatchee River,Middle St. Johns,HORSESHOE LAKE (NORTH),0.10216,sq. miles,LAKE,3F,2716.76344789
2993,Wekiva River,Middle St. Johns,LAKE PREVATT,0.15697,sq. miles,LAKE,3F,4953.0915513
2993A,Wekiva River,Middle St. Johns,DREAM LAKE,0.02622,sq. miles,LAKE,3F,930.8048111
2993C,Wekiva River,Middle St. Johns,LAKE MCCOY,0.13589,sq. miles,LAKE,3F,5137.67903416
2982B,Lake Jesup,Middle St. Johns,GOLDEN LAKE,0.06636,sq. miles,LAKE,3F,1994.86733714
2984A,Lake Jesup,Middle St. Johns,LAKE JENNIE,0.07028,sq. miles,LAKE,3F,1718.70685978
2986A,Lake Jesup,Middle St. Johns,LAKE BINGHAM,0.02403,sq. miles,LAKE,3F,1435.15673246
2986B,Lake Jesup,Middle St. Johns,LAKE MYRTLE,0.05752,sq. miles,LAKE,3F,5187.87022509
2986C,Lake Jesup,Middle St. Johns,GRACE LAKE,0.00924,sq. miles,LAKE,3F,1314.90775858
2973E,Lake Monroe,Middle St. Johns,BEL-AIR LAKE,0.05055,sq. miles,LAKE,3F,2495.01751104
2986E,Lake Jesup,Middle St. Johns,LAKE SEARCY,0.01978,sq. miles,LAKE,3F,1216.42024406
2986F,Lake Jesup,Middle St. Johns,GREENWOOD LAKE,0.1051,sq. miles,LAKE,3F,6119.53368564
2987A,Wekiva River,Middle St. Johns,SPRING LAKE,0.13136,sq. miles,LAKE,3F,2922.69072989
2987C,Wekiva River,Middle St. Johns,LAKE DESTINY / SPRINGWOOD LAKE,0.06472,sq. miles,LAKE,3F,3615.66052432
2991B,Econlockhatchee River,Middle St. Johns,BUCK LAKE,0.24985,sq. miles,LAKE,3F,4657.49188418
29970,Lake Jesup,Middle St. Johns,LAKE BERRY,0.11895,sq. miles,LAKE,3F,2389.77831941
29971,Lake Jesup,Middle St. Johns,LAKE IVANHOE (WESTERN LOBE),0.02234,sq. miles,LAKE,3F,874.8823109
29975,Lake Jesup,Middle St. Johns,LAKE SYBELLA,0.12789,sq. miles,LAKE,3F,3232.04512464
29976,Lake Jesup,Middle St. Johns,LAKE SEMINARY,0.08906,sq. miles,LAKE,3F,1728.30104992
2994B,Lake Jesup,Middle St. Johns,LAKE KATHRYN,0.11669,sq. miles,LAKE,3F,2482.53563821
2994B1,Lake Jesup,Middle St. Johns,TRIPLET LAKE,0.14289,sq. miles,LAKE,3F,5180.50494128
2994C,Lake Jesup,Middle St. Johns,FAIRY LAKE,0.07814,sq. miles,LAKE,3F,2075.1379271
2994E,Lake Jesup,Middle St. Johns,RED BUG LAKE,0.04563,sq. miles,LAKE,3F,1284.71936573
2994F,Lake Jesup,Middle St. Johns,ROCK LAKE,0.03108,sq. miles,LAKE,3F,1212.66538582
2994G,Lake Jesup,Middle St. Johns,WILDMERE LAKE,0.05032,sq. miles,LAKE,3F,1350.7503131
2994H,Lake Jesup,Middle St. Johns,LAKE GRIFFIN,0.02104,sq. miles,LAKE,3F,873.58648584
2994K,Lake Jesup,Middle St. Johns,LAKE CONCORD,0.03108,sq. miles,LAKE,3F,1147.7405116
2994K1,Lake Jesup,Middle St. Johns,LAKE ELLEN,0.00767,sq. miles,LAKE,3F,539.47339146
2994L,Lake Jesup,Middle St. Johns,LAKE JANE,0.00319,sq. miles,LAKE,3F,308.39776114
2994V1,Lake Jesup,Middle St. Johns,QUEEN'S MIRROR LAKE,0.01937,sq. miles,LAKE,3F,867.99370937
2994X,Lake Jesup,Middle St. Johns,LITTLE LAKE HOWELL,0.14458,sq. miles,LAKE,3F,3706.20493507
2994Y,Lake Jesup,Middle St. Johns,FRUITWOOD LAKE,0.00331,sq. miles,LAKE,3F,375.82986914
2994Y1,Lake Jesup,Middle St. Johns,LAKE TONY,0.03076,sq. miles,LAKE,3F,1207.71903466
29977,Lake Jesup,Middle St. Johns,LAKE OF THE WOODS,0.08013,sq. miles,LAKE,3F,2057.57896675
29978A,Lake Jesup,Middle St. Johns,LAKE CHARITY,0.08471,sq. miles,LAKE,3F,3299.89532706
2986D,Lake Jesup,Middle St. Johns,LAKE ALMA,0.00417,sq. miles,LAKE,3F,1640.49245463
2994J,Lake Jesup,Middle St. Johns,PEARL LAKE,0.0196,sq. miles,LAKE,3F,1034.29885516
2973F,Lake Monroe,Middle St. Johns,DEFOREST LAKE,0.01842,sq. miles,LAKE,3F,882.84645274
2973G,Lake Monroe,Middle St. Johns,AMORY LAKE,0.01535,sq. miles,LAKE,3F,1418.14272246
2978,Puzzle Lake,Upper St. Johns,CLARK LAKE,0.26758,sq. miles,LAKE,3F,5837.13840555
2978A,Puzzle Lake,Upper St. Johns,LOUGHMAN LAKE,1.01445,sq. miles,LAKE,3F,12815.5364025
2978B,Puzzle Lake,Upper St. Johns,SALT LAKE,0.62,sq. miles,LAKE,3F,8392.9869259
2978C,Puzzle Lake,Upper St. Johns,ELLIS LAKE,0.13026,sq. miles,LAKE,3F,5190.69151986
2981,Lake Jesup,Middle St. Johns,LAKE JESUP,12.56829,sq. miles,LAKE,3F,78156.95222912000
2982A,Lake Jesup,Middle St. Johns,SILVER LAKE,0.05599,sq. miles,LAKE,3F,1562.09882311
2997W,Lake Jesup,Middle St. Johns,LAKE BELL,0.05701,sq. miles,LAKE,3F,1467.62845629
2997X,Lake Jesup,Middle St. Johns,LAKE KILLARNEY,0.37394,sq. miles,LAKE,3F,6722.95507948
2997Y,Lake Jesup,Middle St. Johns,LAKE MIZELL,0.097,sq. miles,LAKE,3F,2331.21092653
2998A,Wekiva River,Middle St. Johns,LAKE FLORIDA,0.03956,sq. miles,LAKE,3F,1516.26345619
2998B,Wekiva River,Middle St. Johns,LAKE MOBILE,0.03795,sq. miles,LAKE,3F,1434.4372152
29978B,Lake Jesup,Middle St. Johns,LAKE FAITH,0.05441,sq. miles,LAKE,3F,1423.98989091
29979,Lake Jesup,Middle St. Johns,LAKE HOPE (ORANGE COUNTY),0.05252,sq. miles,LAKE,3F,1612.52113923
2997A1,Lake Jesup,Middle St. Johns,LAKE WAUMPI,0.01553,sq. miles,LAKE,3F,1010.94217857
2997B,Lake Jesup,Middle St. Johns,LAKE HOWELL,0.61135,sq. miles,LAKE,3F,7296.98229675
2997B1,Lake Jesup,Middle St. Johns,LAKE ANN,0.02417,sq. miles,LAKE,3F,924.59595344
2994Z,Lake Jesup,Middle St. Johns,PRAIRIE LAKE,0.19267,sq. miles,LAKE,3F,3946.3300318
2995,Lake Jesup,Middle St. Johns,LAKE CHARM,0.03061,sq. miles,LAKE,3F,1167.31651854
2994I,Lake Jesup,Middle St. Johns,SECRET LAKE,0.01527,sq. miles,LAKE,3F,753.13384189
2997K,Lake Jesup,Middle St. Johns,LAKE ESTELLE,0.07119,sq. miles,LAKE,3F,2871.85567749
2997L,Lake Jesup,Middle St. Johns,LAKE WINYAH,0.02674,sq. miles,LAKE,3F,971.00402067
2997M,Lake Jesup,Middle St. Johns,LAKE FORMOSA,0.05052,sq. miles,LAKE,3F,1960.83729476
2997N,Lake Jesup,Middle St. Johns,LAKE HIGHLAND,0.05005,sq. miles,LAKE,3F,1598.16939558
2997O,Lake Jesup,Middle St. Johns,PARK LAKE,0.01376,sq. miles,LAKE,3F,706.64904927
2997P,Lake Jesup,Middle St. Johns,LAKE CONCORD,0.10181,sq. miles,LAKE,3F,2191.68253632
2997Q,Lake Jesup,Middle St. Johns,LAKE DOT,0.00848,sq. miles,LAKE,3F,488.53278287
2997R,Lake Jesup,Middle St. Johns,LAKE ADAIR,0.03795,sq. miles,LAKE,3F,1327.67055154
2997S,Lake Jesup,Middle St. Johns,SPRING LAKE,0.05825,sq. miles,LAKE,3F,1648.71166454
2997U,Lake Jesup,Middle St. Johns,LAKE PARK,0.05288,sq. miles,LAKE,3F,1424.2522239
2997V,Lake Jesup,Middle St. Johns,LAKE GEM (ORANGE COUNTY),0.01284,sq. miles,LAKE,3F,700.05907953
3002E,Wekiva River,Middle St. Johns,LAKE PRIMA VISTA,0.03021,sq. miles,LAKE,3F,1528.01673841
3002F,Wekiva River,Middle St. Johns,LAKE BENNET,0.03786,sq. miles,LAKE,3F,1050.74735792
3002G,Wekiva River,Middle St. Johns,LAKE LOTTA,0.06858,sq. miles,LAKE,3F,2489.66219163
3002H,Wekiva River,Middle St. Johns,LAKE SHERWOOD,0.27601,sq. miles,LAKE,3F,7319.610266510000
3002I,Wekiva River,Middle St. Johns,LAKE ROSE,0.14616,sq. miles,LAKE,3F,3107.15796121
3002J,Wekiva River,Middle St. Johns,LAKE HIAWASSEE,0.29515,sq. miles,LAKE,3F,5537.31200244
3002K,Wekiva River,Middle St. Johns,LAKE OLIVIA,0.1343,sq. miles,LAKE,3F,2753.31408006
3002L,Wekiva River,Middle St. Johns,LAKE JOHIO,0.04034,sq. miles,LAKE,3F,1181.57027334
3002S,Wekiva River,Middle St. Johns,KRISTY LAKE,0.00512,sq. miles,LAKE,3F,517.66097126
3002T,Wekiva River,Middle St. Johns,LONG LAKE (ORANGE COUNTY),0.18562,sq. miles,LAKE,3F,4964.51543069
3002U,Wekiva River,Middle St. Johns,LAKE PLEASANT,0.12073,sq. miles,LAKE,3F,2561.8169769
3002V,Wekiva River,Middle St. Johns,PAGE LAKE,0.0754,sq. miles,LAKE,3F,2614.66120085
3000,Wekiva River,Middle St. Johns,LAKE PEARL,0.0448,sq. miles,LAKE,3F,1714.56634199
3000A,Wekiva River,Middle St. Johns,LAKE HARRIET,0.00667,sq. miles,LAKE,3F,873.17585537
3000B,Wekiva River,Middle St. Johns,LAKE YVONNE,0.00468,sq. miles,LAKE,3F,395.49809382
3000C,Wekiva River,Middle St. Johns,MIRROR LAKE,0.04954,sq. miles,LAKE,3F,2113.87972113
3001A,Econlockhatchee River,Middle St. Johns,LONG LAKE,0.11398,sq. miles,LAKE,3F,3043.03088686
3002N,Wekiva River,Middle St. Johns,PRAIRIE LAKE,0.14041,sq. miles,LAKE,3F,2804.45884074
3002O,Wekiva River,Middle St. Johns,LAKE STANLEY (ORANGE COUNTY),0.07469,sq. miles,LAKE,3F,1702.04641614
3002P,Wekiva River,Middle St. Johns,CROOKED LAKE (ORANGE COUNTY),0.19425,sq. miles,LAKE,3F,6146.30107163
3002Q,Wekiva River,Middle St. Johns,KASEY LAKE,0.00459,sq. miles,LAKE,3F,413.46620061
3002R,Wekiva River,Middle St. Johns,KELLY LAKE,0.00599,sq. miles,LAKE,3F,535.01304053
2997C,Lake Jesup,Middle St. Johns,LAKE MAITLAND,0.70193,sq. miles,LAKE,3F,10726.37366984
2997D,Lake Jesup,Middle St. Johns,LAKE MINNEHAHA,0.15312,sq. miles,LAKE,3F,2617.64582785
2997E,Lake Jesup,Middle St. Johns,LAKE OSCEOLA (NORTH),0.14896,sq. miles,LAKE,3F,2833.6715663
2.997E+04,Lake Jesup,Middle St. Johns,LAKE OSCEOLA (SOUTH),0.09509,sq. miles,LAKE,3F,2038.26136166
2997F,Lake Jesup,Middle St. Johns,LAKE IVANHOE,0.16848,sq. miles,LAKE,3F,4690.0475007
2997G,Lake Jesup,Middle St. Johns,LAKE VIRGINIA,0.35243,sq. miles,LAKE,3F,4792.4452143
2997I,Lake Jesup,Middle St. Johns,LAKE SUE,0.22442,sq. miles,LAKE,3F,3482.95660857
2997J,Lake Jesup,Middle St. Johns,LAKE ROWENA,0.09048,sq. miles,LAKE,3F,2802.1732414
3002C,Wekiva River,Middle St. Johns,LAKE OLYMPIA,0.14022,sq. miles,LAKE,3F,2755.63068517
3002D,Wekiva River,Middle St. Johns,STARKE LAKE,0.32398,sq. miles,LAKE,3F,3999.80552558
2889B,Palatlakaha River,Ocklawaha,HAMMOCK LAKE,0.30236,sq. miles,LAKE,3F,3982.72646521
2813A,Lake Griffin,Ocklawaha,MATHEWS POND,0.02162,sq. miles,LAKE,3F,8198.850403330000
2829A,Lake Griffin,Ocklawaha,LAKE LORRAINE,0.01633,sq. miles,LAKE,3F,1244.06986307
2830A,Lake Harris,Ocklawaha,LAKE SAUNDERS,0.52637,sq. miles,LAKE,3F,7367.7877958
2830X,Lake Harris,Ocklawaha,LAKE WOODWARD,0.11086,sq. miles,LAKE,3F,2415.62477709
2739A,Orange Creek,Ocklawaha,LAKE JEFFORDS,0.25008,sq. miles,LAKE,3F,3476.12027181
2740B,Rodman Reservoir,Ocklawaha,LAKE OCKLAWAHA,7.50333,sq. miles,LAKE,3F,44879.54211946
2740C1,Rodman Reservoir,Ocklawaha,FORE LAKE,0.03879,sq. miles,LAKE,3F,1228.6493105
2740E,Rodman Reservoir,Ocklawaha,PENNER PONDS,0.03196,sq. miles,LAKE,3F,1364.13975376
2740Q,Lake Griffin,Ocklawaha,PENDARVIS LAKE,0.10954,sq. miles,LAKE,3F,2000.00088899
2831B,Lake Harris,Ocklawaha,LAKE DORA,6.851790000000000,sq. miles,LAKE,3F,33135.16795224
2832A,Lake Harris,Ocklawaha,LAKE DENHAM,0.39666,sq. miles,LAKE,3F,4948.29291848
3012A,Econlockhatchee River,Middle St. Johns,LAKE PRICE,0.13813,sq. miles,LAKE,3F,2670.32372585
3017,Econlockhatchee River,Middle St. Johns,LAKE IRMA,0.19209,sq. miles,LAKE,3F,4309.97627887
3017A2,Econlockhatchee River,Middle St. Johns,LAKE DOUGLAS,0.01759,sq. miles,LAKE,3F,824.83960562
3018,Econlockhatchee River,Middle St. Johns,LAKE LOUISE,0.08528,sq. miles,LAKE,3F,1827.93847062
